Username,Comment
@kangkanab8844,"Saqib as Mohinder Amarnath really did justice to the role!!! The Man of the Match both in Semis and the Finals. Ranveer as Kapil Dev, Tahin as Sunil Gavaskar, Jiiva as Srikkanth!!!! The entire cast did a spectacular job. This movie will be played for generations to come!"
@azaholmes4930,"Dude the way Ranveer was speaking was so so similar to kapil dev's, chills literal CHILLS!!!!!!"
@omkargaikwad2739,Goosebumps..tears in eyes ...MSD was a player oriented movie but 83 i think will be a team oriented movie... will be great movie for all those people who were not born in 1983... the real cricket  this movie will be a tribute to all the legends of indian cricket
@praveenbabu149,Mark my words.. nobody will leave from theater without tears of joy in their eyes…a great tribute to our great Kapil Dev and his warriors..love from Kerala ️️️️
@moumitasaha6538,I was born in Nov 1983. Just few months after the world cup. Today I  saw this movie. It is a masterpiece. I was not watching a movie. Its seems to be I am watching the world cup. Enjoying every moment of it. My father was very much fond of cricket. I wish if he was here today. He could have revive his 83 moment once again. In every scene I missed my father.
@Deybungshu,"The dialogue deliveries... Damn... Bollywood can produce gems... Ranveer Singh is a proof... 83 team... Damn good performance... Love Pankaj, Hardy, Amy, Banti"
@mamathacnjain,"This man Ranveer Singh 

In real life his personality looks fun and crazy ... but his seriousness towards his work was commendable.. the way he chooses every script with 100% passion.. 
Tremendous artist we have in our country literally proud of him 

Deepika padukone mam Her grace "
@sanyakalra6376,Ranveer Singh is here to prove again that he is just here to win..what an incredible actor
@kratos692,Unpopular opinion but one of my favorite scene is when Boman Irani who was playing the Indian commentator moved to tears. It cut after only a few seconds but was very powerful.
@DillonPink,Goosebumps. Ranveer is such a talent. He's got Kapil's accent and mannerisms spot on. Blockbuster and record breaker on the way.
@ahadhussain557,"I don't know why but I got emotional after seeing this, anyone else?.... this one's definitely gonna break some good records."
@spartanroxofficial9261,"The voice from Kapil Paji ""I say before, we are here to win"" is just wow"
@seramemoitsheki,South Africa approves . What a great movie 
@firefalcon8178,"Everyone is shocked by the makeover of ranvir singh , totally unexpected.
Outstanding acting and ranvir singh career best performance could be in this movie"
-,"Born in 90s, heard a lot studied a lot but this film going to give a chance to live the victory superb "
@phoenixgamer5005,"This is not an Kollywood or bollywood , tollywood cine....THIS IS INDIAN UNITED FILM...️️"
@jehanmi,I am a Sri Lankan who at the age of 18 years old had the chance of meeting the great Kapil Dev in Colombo Sri Lanka. This movie was a testament to his humble character. I am so sad that I didn’t know it was released in theaters.
@maggumagar,"1. They actually selected punjabi actors for punjabi players.
2. Ranvir Singh imitation of Kapil Dev was actually superb. Eyes n teeth
3. We wanna see the ending, when the spectators will run to the ground and Kapil will lift the WC!"
@bhramar3550,The way Ranveer has mimicked Kapil Dev's style of speaking is truly incredible..can't wait to watch this masterpiece🇮🇳🇮🇳
@Robin.J_03,"Why indian films give me so much energy and goosebumps?? I don't know why i am feeling about my own country and history by seeing every patriotic movies of india. Not only patriotic  but also social awareness, social problem types movies as well.  England divided us in different countries  but these movies make us united again. 
 I am from Bangladesh 🇧🇩.  I always admirers India. 
 
জয় বাংলা. জয় বাংলাদেশ. 🇧🇩"
@aditiamonkar6389,"This movie deserved to be a blockbuster in the box office!! 
Such a well-made film. Not one dull moment!!"
@abhimanyurajaura4493,"This man deserves a biopic..  He has produced numerous single handed match winning batting, bowling & fielding performances. The biggest cricket icon of India."
@onkar2749-u6b,"It gives goosebumps when kapil dev says

""I Say Before, WE HERE TO WIN""

Ranvir Singh has nailed it....!"
@gauravgupta2575,Ranveer singhs entry…expression.. impression…delivery…on point…what an actor
@urbankoto,"Compare this movie with today's films, this paid a proper tribute to the 83 indian cricket team and brought the emotions alive. 

All characters acted so well.  Ranveer. Hope you make a comeback again with such a meaningful movie."
@kamalesh2123,"Man it's Goosebumps to see Jeeva as Cheeka! Kapil: He doesn't know how to defence!!
Pure hitter of the ball Kris Srikanth"
@adityakmit4625,Being a 90's kid heard and studied how our team won the match. It's now time to witness the nail-biting match with so many emotions 
@David-ws1ct,Im not a RANVEER FAN.... but I must say he literally KILLED IT in the character  of KAPIL DEV JI.... HATS OFF..... 🇮🇳🇮🇳🇮🇳
@nxg1265,Just finished watching it and i must say it's one of the best sports-based movie. I've always doubted ranveer's acting skills but he's proved me wrong in this movie. The movie doesn't only show Kapil's accomplishment but also the skills of the other players and let alone the indian players skills but also the opponent's. The way the indians were  reunited by the game and thier expression of joy was 10/10. TOO GOOD
@ssagar8808,"Srikanth saying- ""Aye kya paagal ho gya h re hamara captain"" 
That was awesome. Same talking style . Srikanth himself has told this story in many interviews. 
Jiva as Srikanth would be the best to watch in the movie.Srikanth is hilarious."
@sreeragjayaprakash1206,"By seeing Jeeva's acting as Cheeka, one thing is sure. Each and every expressions and every mannerisms of other actors are near perfect. Kudos"
@bekindandpolite2158,One thing i like about these kinds of bollywood movies is how people of all states and religions are represented and makes us more united when some  political parties try to divide hats off kabir khan for this movie
@AryanPaaji,0:30 Ranveer Singh  with Kapil Paaji's accent 
@nikhilmane701,"He may got trolled for his dressing
But when it comes to acting he nailed it"
@VickyVk1,Jeeva doing the role of Chika (Srikanth sir) is really on point especially his voice modulation  its gonna b fun
@rishabhmishra382,Ranveer has established himself as one of the most class apart actors and the way he enters a role and enters a personality seems like he is living that person. Amazing movie amazing cast. Looking forward to this amazing movie
@rohitgiro8202,83 movie name 83 million views 
@GurmeetSingh-fw2zi,"Goosebumps.

Do u know 

1. Kapil Paaji just have 1 ODI century ( unbeaten 175) in his entire carrier and that came in World Cup 1983 itself.

2. The maximum over on those days were 60 overs.

Now the magic of 83

1. India won the world cup in 1983
2. India all out in final at 183
3. Highest score of Saurav Ganguly in ODI is 183
4. Highest score of M.S. Dhoni in ODI is 183
5. Highest score of Virat Kohli in ODI is 183."
@tousifakram5564,"Now I realize why my grandparent is addicted to cricket.
My grandparent says, 83 moment was glorious even on Radio."
@thilinienagasena1163,not even born in that period but getting goosebumps by watching this trailer! what a masterpiece 
@tapanpattani5394,Had met Kabir Khan in a press abwo and was feeling so sad that this masterpiece people could not understand  he said tapan kya kar sakte hai ! I said sir it's too sad 
@dhavalvaghela714,The actor playing Shrikant just nailed in that 2 second scene in this trailer... tremendous job.
@tusharkalol,Every time people troll for his funny outwear or clothes but in the screen he has been always gives you goosebumps by marvelous performance and this time also he proves that 
@amanbhatia211,"Pure Goosebumps! India's win in 1983 is special for all Indians but extra special for me as India won the world cup on 25th June 1983 couple of hours before my birth (it was early morning of 26th June here in India). I have grown up hearing family talk about how India celebrated my birth :)

And now the movie 83 is releasing on my wedding Anniversary - 24 December! What a treat!"
@lovelymaahi,"We lose the final today me and my dad was so upset after that.then i  download this movie and said to my dad ""watch this"". after end of this movie i seen first time in life my dad's eyes was full of tears... thanks to all people who makes this masterpiece"
@PikachuFanRishabh,"""35 saal pehle humne Independence to jeeti lekin izzat abhi jeetne baaki hai"" line broke my heart .
It's true that respect isn't given/taken/begged, it's earned 🇮🇳."
@burntwheels7106,Can't imagine how this would have felt back in 1983. Just had goosebumps watching the trailer. What a feeling .
@neerusharma7599,Ranveer Singh is such a chameleon. GIRGIT what we say in hindi...He gets into the character skin just so perfectly....he leaves you impressed with his performance even if you are not his Fan.
@szigetvar1,This is one of the best movies I’ve ever seen. I was 10 years old when India won the World Cup and I remember having tears of joy. Every time I watch this movie I have tears. I feel so privileged that I could see these great players play their magical game.
@maheshsajjan8841,"Born in the 90's , just heard the stories, but I can experience those moments now.It's been 38 years since the 83 WC. Even those numbers are exciting when u see. Man!!! This is gonna be wild to watch in theaters."
@15ritikakrishnan68,"'What else we hear for',  the way ranveer said that line it sounded exactly like kapil dev! ️"
@TheSiddharthKothari,I saw this Movie Yesterday. The whole Theatre was re-living the moment. The movie was long but no one realised. Hats-off to the film-makers for such a marvelous film. This team of 1983 world cup taught India to win! A Must watch movie for all.
@DaniellaPark72,I'm not from India but i can say this movie is parallel to Bohemian Rhapsody. The way it was captured is just so on point and the cast did amazing job!
@aarav.129,"The look and accent, especially ( 𝙬𝙚 𝙝𝙚𝙧𝙚 𝙩𝙤 𝙬𝙞𝙣) and language Of ranveer Singh completely matches with the living legend Kapil Dev sir... And ranveer Singh has nailed it... "
@heysahilhere,The first win over West Indies and the world's dangerous baller they have never imagine that India has in the game of cricket after this win ! 🇮🇳️
@ravisharma709,"Ranveer proved himself again, salute to you man the glimpses of Kapil sir is clearly visible in you."
@nachikethp15,"The most underrated movie in Bollywood industry ig. I thought it was a flop movie which was said by all over the internet, when this movie got released. But today I watched the movie , it really brings tears in eyes. Hatsoff to the director nd Whole Indian cricket team including Kapil sir ️"
@bhavanimishra3807,Seriously...goose bumps.. eagerly waiting to feel those moments.. i was not born when India won the 83 world cup. As a die hard cricket fan waiting to see the magic on screen
@vishnusrivastava1652,When you know the story but still get convinced to watch the movie... That's the success of writer
@MindCapturer007,Any type of movies are safe in the hands of Ranvir. He lives the character beautifully.  Eagerly waiting
@user-yz8mf5uh7t,Thus man deserves a biopic. He has produced numerous single handed match winning batting bowling & felding performance the  biggest  cricket icon of india
@rishi.gupta27,"This is not a biopic of ""Kapil Dev"" it's a journey of those members who were rated as underdogs and they captured the World Cup "
@pattuwale7629,"As a Madras native, I say the filmmakers have captured Chika (Kris Srikkanth) with 100% accuracy. The twitch & sniffle, mad max batting technique, cigarette smoking, and most of all, the accent and attitude. Top class! Looks like a great movie!"
@altamashsayed5264,"The 83 victory will be celebrated once again in every house ,in every cinema and in everyone heart..
Huge respect"
@sunitakashyap819,Thanks to Netflix. What a movie literally felt like I was there *83* 
@pranjalmukherjee1142,Our first ever world cup trophy.No Indian can ever forget the fame our country have achieved .We were the underdogs during 1983 world cup.Salute to 1983 wc team playing xi of India
@rinky58,This guy Ranveer is crazy !!! What a transformation  Looks and body language just like Kapil Dev himself. This is going to be a super hit. And Deepika looks and act amazing!!!
@madcasmofficial,"The ""mazaak ki bhi hadd hoti hai"" line delivered by ranveer is the reason he is the king of acting in bollywood.."
@vickychawla1910,"When this match is played, I watch it on my black and white TV. My age is 11 years. A beautiful way was shown in this beautiful match."
@akashkhadka7798,"Trailer:10
Arijit song :10
Acting:10
Movie :10
Goosebumps:10000"
@essm4179,"Goosebumps every time Kapil says, ""I say before, we here to win!""  In true Kapil style, all action, no words! Love him, he is the best cricketer India ever produced."
@jatinmorwal1522,The casting has been amazing.... The scene where Chikka sir was talking about Kapil dev felt so real.....
@yonatanschlussel,"Just watched this and it's probably one of the best movies I've ever seen. The pride surging throughout the film for a country you're not even part of is unexplainable. The joy expressed through the movie of the Indians of the recognition they received upon winning the world cup is impossible not to feel. I never thought I'd have so much joy yet i did

Truly q masterpiece of a film that is not appreciated enough"
@pappagani,"I think Ranveer Singh did justice with the role. Hope the movie will bring back the memory of 83,i was just 6 years old then."
@fahadaman5401,"Goosebumps, tears, elevated heartbeats, heavy breathing, choked throat, shivers down the spine, knees trembling, swollen chest, head held high...what else is left to emote and love, respect, pride oozing out of my body by just watching the trailer. Its a national duty of all proud Indians to watch this movie. Proud of you guys!!!"
@FunnyBunnyVinesForYou,"Ranveer singhs acting is top class, he perfectly nailed the character of Kapil paaji. His voice, Expressions are top class"
@Saahil.m,This is one of the best Movie ever made in India.......
@nimishkumarsaini3292,Everyone saying that this is a flop movie but actually this is the perfect MASTERPIECE ️
@savithadevaraj2058,This movie will surely have 0 haters. Kapil....kapil this chants will fill the theaters. RESPECT +++
@dhavaldave1209,I've never been a fan of Ranvir Singh but i think this movie will change my perception for him. Looking at him in trailer and the way he acted looked much like Kapil Sir... Emotions are high... ️️️
@engadge,"Just 35 years after independence India was like an adolescent child who was just breaking out of puberty... India as a nation was poor, cutely innocent, underconfident and very humble... This win was the first spurt for this nation... And it looks like this country is not gonna look back now... Go India"
@srishtubaby,The trailer made me a little emotional. Imagine how our nation would have felt at that time. These are the movies which we crave for.
@amanw29,Literally had tears in my eyes watching this trailer. … Can’t imagine how special this 1983 World Cup would have meant for them
@AbhishekSharma-ty6vr,"This is sensational!! Even if a film on 2011 World Cup triumph is made, it won't be as emotive as this movie. 1983 win is very special in every Indian's heart"
@IPLHighlightsOfficial2020,83 and Miracle (2004) are truly masterpieces ️
@ronitdas1050,"Ranveer looks more Kapil Dev than Kapil Dev himself.. 
Salute to his dedication
U can make fun of his attire but when it comes to acting this man nails each and every character with his charm"
@AradhitaPyne,Winning this World Cup against everyone's hope was indeed a freedom struggle ... Hats off to the entire cast and crew of this film who have made this movie so special for us to watch...
@ambitious_abhii,"Excited to witness the past glory of India, when I was not even born...Hatts off to Kabir Khan for making this film."
@8Ranjitha,Watched this movie just now.loved it.In beginning my husband told he don't like Ranveer Singh so he will not watch but by sometime started watching and finished it.
@abhishekrangrej1481,In end of every bollywood trailer Arijit Singh song is mandatory ️
@yaseengani1,Was 8 years old and witnessed the  madness and celebration. 83 is not a movie but an emotion for people from that  era. I know by climax I would be in tears ️.
@survivorr3037,"He gets best scripts, the best character to portray, the best dialogues ( also got best girl )...and he nails it every time yaaaar...Kya ho tum Bhai....️"
@prasannavenkat7600,"What a masterpiece!!! Never watched any movie so many times like this one. Whenever I have been sad, watching this movie gives great confidence and hope. Thanks to Kapil Devils and the film makers"
@vasanthkrishna7809,"Apart from the emotional quotient of relating to this historical event as an Indian, got to admit Ranveer nailed it as the legendary Kapil Dev Ji. Salute to the Champions Team of 83 !!"
@JOJOPranksters-o6p,"1983 is not just a year,its an emotion for indians"
@muhammadnoman06,"Ranvir Singh just nailed Kapil Paaji's character, blockbuster trailer, the end is mesmerizing and emotional, goosebumps all over the body! Love from a Neighbour and a cricker lover <3"
@hmkw481,"Best Sports film of Indian cinema:- Lagaan, Chak de India, Iqbal, Paan Singh tomar, Bhaag Milkha Bhaag, Mary Kom, MS Dhoni, Dangal, Sultan & 83"
@nayanpatel1036,Goosebumps!!! when he said we got independence but still need to earn RESPECT!! This is now a theater quality movie to watch...can't wait!
@prachidubey4617,"O my god..... Ranveer singh looks phenomenal, his looks, his voice, his moves, his acting..... Everything on point"
@akbaraslam5349,Seriously The way Ranveer presented himself like Kapil is amazing…. It’s so difficult to match …
@somabiswas8650,Star Gold mein dekhte 2 nostalgic ho rahi hoon... Bohut achha laag rahi...
@MdHamimulKarim,"I am a Bangldeshi but still getting tears in my eyes after watching the trailer.
I am imagining how the Indians will feel after watching it.
Brilliant work."
-,35 साल पहले आज़ादी जीते लेकिन इज़्ज़त जीतना अभी बाक़ी है कप्तान :) वाह त्रिपाठी साहब जलवा और रणवीर भाई ने क्या एक्टिंग की है बिल्कुल कपिल देव साहब की याद दिला दी ️🇮🇳 Biggest Blockbuster of 2021 !!
@salsal278,"As a 9 year old in 1983  I still remember watching this match live at night at my neighbors place in Mumbai. While the Windies were batting, the lights went out for a while  but were back later. Me and my brother celebrated as we heard fire crackers light up all over Mumbai."
@moveitstime,"I watched on #Netflix. This is a true inspiration to cricket generations and fans. 
BCCI was not so rich those days, but our players did their die-hard efforts to lift the glory!!!"
@DeadlyRiderz,Finally amazing movie is coming after MS DHONI ️
@Lucifer-pq7uy,"This has  to be a masterpiece.... Many(this generation) haven't experienced the win in 1983 world cup , So this is going to be the highest grossing movie of the year, Thank You Kapil Dev Sir"
@vasuarora4841,my god... Goosebumps... and Ranveer's Character as Kapil Dev is Top Notch...
@tanishkarpe9386,"Only goosebumps while watching this movie 
Really love this movie, feel sad that it's underrated  but mind blowing performance by ranveer singh"
@explorervikky,Ranveer Singh never disappoints with his hard work.. He is one of superb actor in bollywood..
@nikunj_films,"so nobody gonna talk about, at 3:11 how beautifully they showed real cricketers names instead of actors names, this shows the respect for the real heroz of 83, even the movie name is not kapil dev, it's 83 "
@samratamitsingh786,Masterpiece  Because of this team 83  India 🇮🇳is now Cricket  Power House of world ️ Goosebumps  Ranveer versatility level- Infinity 
@prettyamrita4909,"Because of ranveer singh i was avoiding to watch this movie .

But i can say after watching this movie 
I just felt  nd want to admit 
I should not prejudiced before watching any movie

This is awosome movie

Real sport movie 
I just love it 

My mummy is very crazy about cricket i m used to watch cricket match with my mom during my school time

 Salute to team of  83 . Awosome movie. Awosome making .

No love song no faltu ka emotional family drama  nd deshbhakti ka overdose.
  just about 83  nd sport spirit.. everything is accurate nd in right amount 
Not less not  more

For me emotional part when  real  Kapil Dev  catched   ball. I just cried nd cried

Sorry for my prejudiced thinking before watching this  movie 

️️️️"
@englishwithmukeshsingh268,"This is insane
What a job Ranveer Singh has done man...
This is crazy
Finally after Bhag milkha bhag  and M.S. Dhoni ,here comes another epic movie"
@thecinemaniacs6197,"The way Ranveer Singh has managed to transform into Kapil Dev is simply magic. If nothing else, his performance will be a template for other actors on how biopics must be done. 
Kudos to Kabir Khan and the casting team for bringing together so many actors, from different backgrounds, and merging them seamlessly into the 1983 Indian Playing XI."
@ftronkypom8852,"Am I the only one who wasn't there in 83 but watching this trailer had Tears with Goosebumps , We Bleed blue 🇮🇳🇮🇳🇮🇳"
@prakashvalsangkar4783,Filmfare best actor award goes to Ranveer Singh for this movie.
@naveenn805,"Most of us didn't know how it felt to  be won our first ever world cup then, but we will surely feel it in the cinema hall.."
@prakhart92,"He excellently copied Legend's way of speaking and face expressions. 
This man is intense.
Love you Ranveer."
@hiteshdahate3843,"Rarely get tears watching trailer, this is when we arrived as a cricket crazy nation, when we were not born but have heard alot about. 
Ranveer and rest of the cast, resemble the team so well, loved it.
Kabir Khan, hats off."
@suvoranjanbanerjee4808,"After more than 1 years of watching the film, that dialogue ""we're here for win"" still gives the same goosebumps.
Arguably 83 is the best Indian movie about cricket (from a fan boy MSD).."
@akshaytrivedi6155,"His smile , looks , voice everything is exactly like kapil dev... Ranveer Singh you are tooo good maan what a actor .. always surprise with his acting skills"
@22copefilms,The only film in which ranveer and deepika's characters not gonna die in the end ️
@bhumika9935,This is going to be a masterpiece and I can confirm this. Ranveer's acting is literally everything>>>>> no one can ever come to his level️
@umashankar400,Forget about people review. According to me this is Awesome and Great Movie of All-time 
@girishchaudhary5110,This is not a movie. it's emotions. Every cricket fans are involved . What a trailer ️
@indranilDey227,Only one word it’s a “Goosebump”. This would be a legendary movie of this era for sure......!! #Amazing83
@robinsaxena4465,The amount of goosebumps I felt in this trailer is much beyond the amount I had in this entire year !!!  #83
@DHarshini-dd1bp,Every Indian needs to watch this
@manavshah7033,"Ranveer Singh just broke the stereotype of him being a funky and cool hero.
This is lit..  a blockbuster"
-,Kapil Paaji Zindabaad
@kuldeepbrahmbhatt,83% of Indians alive today haven't lived these enchanting moments... I thought this movie to be a risky project ... And more than that the patient of producers holding the launch for almost 18 months... Most of the punches are covered in the trailer but I believe there is more to experience ...  Bring it on.. can't wait anymore
@samirkar7031,"I m in class eight in that time , so we are the witness of that moment, so when I watch this movie, I recall my student time. Nice creation"
@anuragpanda1999,"Finally a movie after ""Chak De! India"", where every kind of emotions are guaranteed "
@sachinanand3532,"We Indians can give emotional touch to any and everything. And, when it's about cricket we bleed blue"
@faustinepimento298,"By far the greatest victory India has ever tasted..... Man, defeating a team who were deemed lethal and unstoppable in the 80s such as the West Indies in a foreign pitch was nothing short of amazing 🇮🇳"
@mehedihassan-vb1rn,Kapil dev is a legend & one more thing he always Focus genuine cricket play not win like fake fielding....   🫡
@saurabhchalke,It's always great when the trailer doesn't give away the entire movie.
@leviaot-m1u,The trailer made me very emotional . Imagine how our nation would have felt at that time. These are the movies which we crave for
@jp1966a,I had watched the entire 83 final match as a young kid late into the night and still remember the excitement and thrill when we won the match.  This trailer made me relive those memories...waiting eagerly for the movie to release and watch it.
@mandeepkumar1746,Dil me aisi touching kra hai ki sb kuch es movie me real dekha hai...love u 83 players
@abhijith501,"the vibes of this movie are giving goosebumps. 
Ranveer has gone into the skin of the character and thanks a lot Indian team and Kapil paaji for the first ever world cup in 1983.
 Heard a lot about world cup now will be witnessing this master piece."
@Whatreally123,Ranveer is undoubtedly the most talented and intelligent actor of the current generation. No one comes close.
@Poorwashree,His Look and his acting..hats off!! Ranveer is slaying it again!
@jyotikhandagale8493,I saw this movie today ..Every Indian should watch this and celebrate the success..... ️️️ Inspiring Journey ️️️
@1nterlnked,"When Pankaj Tripathi said,""35 saal pehle Humlog azaadi jeete, izzat jeetna abhi baaki hai kaptaan""... Goosebumps "
@bituponborah4215,I wasn't even born when India achieved this historic feat .This movie is going to give us the opportunity to relive that moment of winning the 83 World Cup.
@prathamsalvi7328,I really got goosebumps after watching this trailer proud to be a indian proud to be a indian cricket fan 
@NaveenKumar-yn5dk,Ranveer Singh has lived in the role of Kapil Dev. While watching the film ai felt Kapil was playing alongside the actors in the film.
@darpanrelankiduniya4574,"We can't imagine the joy of that time winning the world cup in 1983 but this movie will give us a real feeling for that moment can't wait for this 
Goosebumps"
@shoaibali-xy7rg,Ranveer singh has completely justify the role and the movie is promising the other casts also looking promising just can't wait to experience this movie on big screen
@nayeembaig7901,"This movie in a local theatre. The vibes, the goosebumps, the whistles."
@cw5733,Much deserved Respect  to India.  As a South African still at school we never saw this Historic game.  The cricketers  deserved the world cup.  Absolutely  fabulous   
@kishorekhot,"This World Cup changed the mindset of my generation of Indians that we could win at the international level
Inspirational win Goosebumps Looking forward to the movie"
@king_chokra8896,"This is absolutely brilliant portraiture of 83 World cups. Viv Richards , Clive llyod were literally superstars"
@Lambor_Gaming,Fun fact anyone notice the movie name is 83 and views are 83 milllion
@FearlessStar33,This got tears in my eyes and my heart was full in the end. Each and every actor has molded themselves into the role so well. THIS IS GOING TO BE A HUGE BLOCKBUSTER FILM FOR 2021. RANVEER SINGH nailed it.
@thecorporatelabour,"A true Cricketer can feel the vibe of the movie... Goosebumps, teary eyes, huh!!!!... The feeling is insane ... 
India India... "
@XavierMemeWorld,That West-Indies team was unbeatable but our boys did it.
@neelusharma6295,Thankx reliance..m nt born in 1983..but I shw my father's favourite hero of cricketer mr kapil dev ji
@somadey775,Ranveer Singh is a gem of Indian cinema . His acting level is on another level . It actually proves that real talent is beyond nepotism .
@WatchNow24_7,"I got goosebumps  what a trailer it is! Cricket  unites everyone. All the very best to Kabir Khan, Deepika,Ranveer, Hardy and Amy virk. This is a blockbuster."
@piece_of_peace.,"There’s a feel that the crowd would rejoice once again, at the end of this movie"
@sauravkumar-tc8ln,The trailer made me very emotional . Imagine how our nation would have felt at that time. These are the movies which we crave for
@riya.choudharyy18,What a masterpiece so glad to be part of it.....
@vhanusingh7359,"After dis film, RANVEER SINGH will remember for his Performance for CENTURIES ...!!!! A MOVIE IS A PERFECT TRIBUTE for KAPIL DEV'S HARDWORK AND DEDICATION."
@mr_sidharth,"I wasn't born to watch the 83rd World Cup but to be a witness of this, I'll definitely watch it in the theater. 🇮🇳"
@imtiyazkhan-tts,"We indians are much more emotionally attached to our country than rest of the world
Proud to be indian"
@trudyeastland4036,This is one of the best I have watched.  Congratulations India on your win in 1883... I will watch this over and over.  One of my friends from India told me to watch it. It's AWESOME.  Everyone was fantastic in this movie.  I love it.  I am from America and I love India 🇮🇳 ️
@TheVibesOf,"I literally had tears rolling down my cheeks while watching this trailer! As a late 90s Indian kid I had only the chances of reading about this extravaganza of event, as we grew into the days of internet I had the chance of atleast watching few highlights of the tournament and the hurdles the team had faced but I guess with this film, I get the chance to live the moment which I can't give up on! Eagerly waiting to experience it only in cinemas with the fellow Indians!"
@honeydudeify,My papa was 15 years old in 1983 and watching this in theatre with him  is something I'm looking forward to 
